㓦划	㓦劃
劬劳顾复	劬勞顧復
劾系	劾繫
剂量当量	劑量當量
剉折	剉折
剺面	剺面
剿获	剿獲
座钟	座鐘
寂历	寂歷
寅台	寅臺
寝丘之志	寢丘之志
寥寥无几	寥寥無幾
寮采	寮寀
哺喂	哺餵
哽咽	哽咽
孵出	孵出
孖虫	孖蟲
孩儿面	孩兒面
孬种	孬種
孱困	孱困
咍台	咍臺
咎征	咎徵
咕咕钟	咕咕鐘
咙胡	嚨胡
咣当	咣噹
咨询	諮詢
咯当	咯噹
咳嗽药	咳嗽藥
匋斋吉金录	匋齋吉金錄
匙扣	匙扣
匣里龙吟	匣裏龍吟
匾扎	匾扎
匿于	匿於
喇叭虫	喇叭蟲
喑恶叱咤	喑惡叱吒
喟叹	喟嘆
履历	履歷
屠苏	屠蘇
屑于	屑於
偎干	偎乾
偕同	偕同
偢采	偢采
姌袅	姌嫋
姘出去	姘出去
姱修	姱修
姿采	姿采
岂只	豈只
岐周	岐周
岑参	岑參
岔曲	岔曲
岗台	崗臺
岚烟波影	嵐煙波影
岛链	島鏈
岫岩县	岫巖縣
岭表	嶺表
岱岳	岱嶽
坎塔布连	坎塔布連
坊曲	坊曲
坍台	坍臺
块肉馀生录	塊肉餘生錄
坡布莱	坡布萊
坨里	坨里
坯布	坯布
坱郁	坱鬱
埔里	埔里
埤塘里	埤塘里
廛布	廛布
廿五万	廿五萬
妥当	妥當
妆台	妝臺
妊娠毒血症	妊娠毒血症
妢胡	妢胡
妻党	妻黨
塌台	塌臺
垣曲	垣曲
垢面	垢面
唁吊	唁弔
唉叹	唉嘆
唯意志论	唯意志論
娴于	嫺於
娩出	娩出
娱乐台	娛樂臺
勇于	勇於
勋章	勳章
募兵制	募兵制
勺药	勺藥
壑谷	壑谷
壳里	殼裏
傢伙	傢伙
傒幸	傒倖
傥荡	儻蕩
僦舍	僦舍
啄针儿	啄針兒
啜哄	啜哄
啤酒厂	啤酒廠
啮合	齧合
啷当	啷噹
啼饥号寒	啼飢號寒
墟里	墟里
嫉恶	嫉惡
嫔御	嬪御
嫠忧宗周	嫠憂宗周
嫩叶	嫩葉
噎饥	噎饑
噙齿戴发	噙齒戴髮
器物录	器物錄
噫吁戏	噫吁戲
嘘下台	噓下臺
嘱托	囑託
堙淀	堙澱
嗅出	嗅出
嗑药	嗑藥
嗔拳不打笑面	嗔拳不打笑面
嗛志	嗛志
嗝症	嗝症
崤谷	崤谷
崩症	崩症
儌幸	儌倖
嚚暗	嚚闇
婆娘	婆娘
婢仆	婢僕
婶娘	嬸孃
峡谷	峽谷
媚如秋月	媚如秋月
媮合苟容	媮合苟容
媵御	媵御
嬉游	嬉遊
嬖幸	嬖倖
嬴余	嬴餘
嵌岩	嵌巖
嵚埼历落	嶔埼歷落
嵫厘	嵫釐
嶰谷	嶰谷
扳回	扳回
扒出	扒出
扞御	扞禦
扮装皇后	扮裝皇后
扰流板	擾流板
扼制	扼制
朗朗云天	朗朗雲天
期货价	期貨價
朵云	朵雲
杈杆儿	杈桿兒
杪秋	杪秋
杳无人烟	杳無人煙
抠出	摳出
抔土未干	抔土未乾
抻面	抻面
抿发	抿髮
斐然向风	斐然向風
斑岩	斑岩
斤斗	斤斗
斥卤	斥鹵
斫雕为朴	斫雕爲樸
斲雕为朴	斲雕爲樸
挫折	挫折
挌斗	挌鬥
挚而有别	摯而有別
拏云	拏雲
拓朴	拓樸
拑制	拑制
拥向	擁向
拭干	拭乾
拮据	拮据
拷克机	拷克機
沓合	沓合
沟谷	溝谷
沤郁	漚鬱
沦于	淪於
沮舍	沮舍
渗出	滲出
渍已干	漬已乾
渠冲	渠衝
渥兹尼克	渥茲尼克
渺无人烟	渺無人煙
旍表	旍表
旛胜	旛勝
旸谷	暘谷
泊松	泊松
泣别	泣別
泅游	泅遊
泱郁	泱鬱
栅极	柵極
栈板	棧板
栉发工	櫛髮工
恙虫	恙蟲
恂栗	恂慄
恕乏价催	恕乏价催
恭喜发财	恭喜發財
昂纳克	昂納克
昌吉回族自治州	昌吉回族自治州
敏于	敏於
效价能	效價能
敹一针	敹一針
浥注	浥注
浦发	浦發
浴帘	浴簾
暌合	暌合
构筑	構築
枚卜	枚卜
枷板	枷板
摁扣	摁釦
摒出	摒出
摛藻雕章	摛藻雕章
摭采	摭採
摹扎特	摹紮特
氘核	氘核
氤郁	氤鬱
氨基甲酸酯类化合物	氨基甲酸酯類化合物
氮血症	氮血症
曙后星孤	曙後星孤
曰云	曰云
曷极	曷極
歛出来	歛出來
歧出	歧出
戛云	戛雲
戬谷	戩穀
戽斗	戽斗
掏出	掏出
授权范围	授權範圍
掤扒吊栲	掤扒吊栲
掰了	掰了
掳获	擄獲
掺合	摻合
汀曲	汀曲
汞合金	汞合金
池里	池裏
汴梁	汴梁
涅面	涅面
涛生云灭	濤生雲滅
润发	潤髮
涩谷	澀谷
涳蒙	涳濛
涸干	涸乾
捍御	捍禦
捵面	捵麪
毙而后已	斃而後已
毚欲	毚欲
毯里	毯裏
攧攧仆仆	攧攧仆仆
攸戚相关	攸慼相關
洲际杯	洲際盃
洴澼药	洴澼藥
梓里	梓里
梢云	梢雲
淌板船	淌板船
淬炼	淬鍊
淮阴师范学院	淮陰師範學院
搀伙	攙夥
搅合	攪合
搌布	搌布
搢绅录	搢紳錄
搪饥	搪飢
搯出来	搯出來
怎么	怎麼
怜才	憐才
怠于	怠於
怫郁	怫鬱
怯症	怯症
晞发	晞髮
晤面	晤面
晾干	晾乾
柬埔寨人民党	柬埔寨人民黨
柱梁	柱樑
欷吁	欷吁
欸乃曲	欸乃曲
欹嵚历落	欹嶔歷落
惜别	惜別
惄如调饥	惄如調饑
惇朴	惇樸
惋叹	惋嘆
惏栗	惏慄
惕栗	惕慄
惟天可表	惟天可表
惬当	愜當
惴栗	惴慄
惺松	惺鬆
滤出	濾出
滞后	滯後
滃郁	滃鬱
滇西纵谷	滇西縱谷
滋补药品	滋補藥品
滥发	濫發
滨松市	濱松市
滩涂	灘塗
揍了	揍了
援据	援據
愆面	愆面
撵出	攆出
撺哄	攛哄
撂了	撂了
撇吊	撇弔
撕了	撕了
漕挽	漕輓
漳州师范学院	漳州師範學院
漾出	漾出
悒郁	悒鬱
悟出	悟出
悍药	悍藥
悔不当初	悔不當初
悖入悖出	悖入悖出
悚栗	悚慄
患难之交才是真正的朋友	患難之交纔是真正的朋友
您克制	您剋制
悭吝苦克	慳吝苦剋
悸栗	悸慄
悼念	悼念
框出	框出
桶里	桶裏
桅杆	桅杆
桉叶油	桉葉油
桢干	楨幹
棘针	棘針
棕色种	棕色種
棫朴	棫樸
樊于期	樊於期
樛曲	樛曲
樱花杯	櫻花盃
殆尽	殆盡
殖谷	殖穀
殡舍	殯舍
殴斗	毆鬥
段皇云	段皇雲
溃于	潰於
溅了	濺了
溟蒙	溟濛
溥天同庆	溥天同慶
溯游	溯游
溲面	溲麪
擀面	擀麪
擎拳合掌	擎拳合掌
擐系	擐繫
擘划	擘劃
潇洒	瀟灑
潟卤	潟鹵
慧种	慧種
慨叹	慨嘆
濠梁	濠梁
湾里	灣裏
湛江师范学院	湛江師範學院
湟潦生苹	湟潦生苹
椅里	椅裏
椭圆面	橢圓面
椽梁	椽梁
椿萱并茂	椿萱並茂
楞了楞	楞了楞
楣运当头	楣運當頭
楮叶	楮葉
澄澹精致	澄澹精致
澎湖天后宫	澎湖天后宮
澒蒙	澒濛
澥谷	澥谷
懂了	懂了
懈松	懈鬆
懔栗	懍慄
懰栗	懰慄
橄榄岩	橄欖岩
橘核	橘核
橦布	橦布
橱柜	櫥櫃
概念	概念
榆叶梅	榆葉梅
榔板	榔板
榕坛问业	榕壇問業
榻布	榻布
槭叶止血草	槭葉止血草
胁制	脅制
胖姑娘坐小轿儿	胖姑娘坐小轎兒
胤胄	胤胄
胼胚种	胼胚種
迦叶	迦葉
迫于	迫於
迢迢千里	迢迢千里
迹蹈	蹟蹈
衡量制	衡量制
衲被蒙头	衲被蒙頭
衿曲	衿曲
苑里	苑裏
苎麻	苧麻
苛政猛于虎	苛政猛於虎
苜蓿长栏干	苜蓿長欄干
苫布	苫布
苴布	苴布
诀别	訣別
诊断出	診斷出
诬蔑	誣衊
诋毁	詆譭
诏板	詔板
诓哄	誆哄
诔赞	誄讚
诘曲	詰曲
诙谐曲	詼諧曲
诿过于人	諉過於人
赈饥	賑饑
赉发	賚發
赊借	賒借
赒急扶困	賙急扶困
赠别	贈別
赡表子	贍表子
赣南师范学院	贛南師範學院
赭面	赭面
荅布	荅布
荑手纤纤	荑手纖纖
荤油蒙了心	葷油蒙了心
荦确	犖确
荧郁	熒鬱
账面	賬面
贬价	貶價
贸易伙伴	貿易伙伴
贿赂并行	賄賂並行
蒂森克虏伯	蒂森克虜伯
蒌叶	蔞葉
蒿里	蒿里
讦发	訐發
讫了	訖了
讬了	託了
讳恶不悛	諱惡不悛
臻于	臻於
臀位取胎术	臀位取胎術
臂一卷	臂一捲
觔斗	觔斗
览胜	覽勝
觌面	覿面
觱发	觱發
谣言止于	謠言止於
谯周	譙周
谙历	諳歷
谭嗣同	譚嗣同
谿谷	谿谷
者回	者回
耗尽	耗盡
耘荡	耘盪
耦合	耦合
耻居王后	恥居王後
耽于	耽於
舟曲	舟曲
舢板	舢板
舂谷	舂穀
舄卤	舄鹵
舰只	艦隻
舳舻千里	舳艫千里
辑录	輯錄
辁才	輇才
辍耕录	輟耕錄
辐射警告标志	輻射警告標志
辖制	轄制
辗米厂	輾米廠
辜濂松	辜濂松
辱游	辱游
轩辟	軒闢
轶荡	軼蕩
轸念	軫念
轿夫	轎伕
茈胡	茈胡
茉莉克	茉莉克
茎干	莖幹
茑萝施乔松	蔦蘿施喬松
茨万吉拉伊	茨萬吉拉伊
茫茫荡荡	茫茫蕩蕩
茱丽叶	茱麗葉
茵借	茵藉
茹志鹃	茹誌鵑
肾脏	腎臟
肃北蒙古族自治县	肅北蒙古族自治縣
肇因于	肇因於
肢体冲突	肢體衝突
肤发	膚髮
肴馔	餚饌
肽链	肽鏈
跎纤	跎縴
跪了	跪了
跬步千里	跬步千里
践极	踐極
莎玛海耶克	莎瑪海耶克
莒光周	莒光週
莜面	莜麪
莺谷	鶯谷
聒噪	聒噪
芍药	芍藥
芙蓉出水	芙蓉出水
芟秋	芟秋
芧栗	芧栗
芫荽叶	芫荽葉
芬郁	芬鬱
芳名录	芳名錄
艇甲板	艇甲板
艎板	艎板
艨冲	艨衝
艳后	豔后
艸木丰丰	艸木丰丰
脂漏性角化症	脂漏性角化症
脓团	膿團
脺脏	脺臟
脾脏	脾臟
萝卜	蘿蔔
萌发	萌發
腑脏	腑臟
腥黑穗病	腥黑穗病
虹彩	虹彩
虏获	虜獲
虞歌决别	虞歌決別
虬须	虯鬚
虽复能复	雖覆能復
蜀党	蜀黨
蜰虫	蜰蟲
蜷曲	蜷曲
襄赞	襄贊
襟曲	襟曲
趫才	趫才
趱干	趲幹
趿拉板儿	趿拉板兒
裒克	裒剋
裔胄	裔胄
裕丰	裕豐
裤扣	褲釦
袒露出	袒露出
躯干	軀幹
躄出	躄出
躏借	躪藉
躐胡	躐胡
豉虫	豉蟲
豫游	豫遊
菁英杯	菁英盃
菅野美穗	菅野美穗
菩提流志	菩提流志
蛔虫	蛔蟲
蛲虫	蟯蟲
蛀虫	蛀蟲
蛆虫	蛆蟲
蛏干	蟶乾
蛓毛虫	蛓毛蟲
蛙鼓虫吟	蛙鼓蟲吟
蛟龙得云雨	蛟龍得雲雨
蛰虫	蟄蟲
蓊郁	蓊鬱
蓟训历家	薊訓歷家
蓦然回首	驀然回首
覃天同	覃天同
踊跃发言	踊躍發言
踌躇满志	躊躇滿志
踔厉风发	踔厲風發
踩坏了	踩壞了
踪迹	蹤跡
踬仆	躓仆
葑菲之采	葑菲之采
葵涌	葵涌
蔗板	蔗板
蔷薇十字团	薔薇十字團
蔼彩	藹彩
薙发	薙髮
薛松干	薛松乾
薝卜	薝蔔
螟虫	螟蟲
螫针	螫針
螹胡	螹胡
螽斯之征	螽斯之徵
螾庐曲谈	螾廬曲談
藉资挹注	藉資挹注
藕复	藕覆
藜藿不采	藜藿不採
藤制	藤製
藩台	藩臺
蚀船虫	蝕船蟲
蚜虫	蚜蟲
蚵仔面线	蚵仔麪線
蟪蛄不知春秋	蟪蛄不知春秋
蟭蟟虫	蟭蟟蟲
蟹黄鲍鱼面	蟹黃鮑魚麪
褐布	褐布
褚人获	褚人獲
褪前擦后	褪前擦後
蠕虫	蠕蟲
蠓虫	蠓蟲
蠔涌	蠔涌
蹦出	蹦出
蹀里蹀斜	蹀里蹀斜
蹇修	蹇修
蹪于	蹪於
蹭棱子	蹭棱子
膏药	膏藥
膻中	膻中
膊风板	膊風板
蕃薯叶	蕃薯葉
蕈状云	蕈狀雲
蕲向	蘄向
貂复额	貂覆額
蝗虫	蝗蟲
蝎谮	蠍譖
蝴蝶谷	蝴蝶谷
蝼蚁得志	螻蟻得志
賨布	賨布
謷丑	謷醜
謻台	謻臺
绦虫	絛蟲
绉布	縐布
绒布	絨布
绢布版	絹布版
绳扣	繩釦
绾发	綰髮
秾纤	穠纖
秕谷	秕穀
秧针	秧針
甪里	甪里
甸后	甸後
烝尝	烝嘗
烩面	燴麪
烬余	燼餘
癌症	癌症
癒合	癒合
癫痫症	癲癇症
癸丑	癸丑
纠合	糾合
纲鉴	綱鑑
纷如烟	紛如煙
纾困	紓困
牉合	牉合
牒发	牒發
牖里	牖里
牢靠妥当	牢靠妥當
牧神午后	牧神午後
牲干下	牲幹下
盟旗制度	盟旗制度
盲干	盲幹
盾板	盾板
策划	策劃
筲斗	筲斗
筵几	筵几
玢岩	玢岩
糅合	糅合
糕干	糕乾
糠穗	糠穗
糯米团	糯米糰
矞云	矞雲
矿物纤维	礦物纖維
祁奚荐仇	祁奚薦仇
祇洹精舍	祇洹精舍
祷念	禱唸
穹谷	穹谷
眠云	眠雲
灿烂多彩	燦爛多彩
笃志	篤志
笆斗	笆斗
笏板	笏板
笙磬同音	笙磬同音
笨蛋挂	笨蛋掛
笺注	箋註
羁系	羈繫
羌胡	羌胡
羑里	羑里
羚羊挂角	羚羊掛角
羹里来饭里去	羹裏來飯裏去
粒变岩	粒變岩
粜出	糶出
粥厂	粥廠
粲夸克	粲夸克
粽粑叶	粽粑葉
炆面	炆麪
炉台	爐臺
炳烛夜游	炳燭夜遊
炽热火山云	熾熱火山雲
缙云	縉雲
缆索吊椅	纜索吊椅
缎面	緞面
缔造出	締造出
缕当	縷當
缘分已尽	緣分已盡
缜致	縝緻
缣缃黄卷	縑緗黃卷
缥致	縹致
缦胡	縵胡
缪种流传	繆種流傳
缮修	繕修
缱绻难舍	繾綣難捨
缾沉簪折	缾沉簪折
罂粟种子	罌粟種子
罄尽	罄盡
罔极	罔極
罩杯	罩杯
狃于	狃於
狞恶	獰惡
狱里	獄裏
皙面	皙面
箝制	箝制
礁岩	礁岩
爰历篇	爰歷篇
爵仇	爵仇
爹娘	爹孃
爽荡	爽蕩
禄丰	祿豐
禀复	稟覆
禺谷	禺谷
硝烟	硝煙
硗确	磽确
砚台	硯臺
砧板	砧板
砰当	砰噹
砲台	砲臺
砸了	砸了
砻谷机	礱穀機
砾岩	礫岩
琅邪台刻石	琅邪臺刻石
琉璃厂	琉璃廠
琐才	瑣才
琛板	琛板
琨玉秋霜	琨玉秋霜
熄了	熄了
熨斗	熨斗
痊愈	痊癒
痔核	痔核
痕迹	痕跡
痖弦	瘂弦
痘疹娘娘	痘疹娘娘
痢疾杆菌	痢疾桿菌
痨虫	癆蟲
痫症	癇症
痰症	痰症
煨干	煨乾
煅炼	煅煉
煞费周章	煞費周章
煴斗	熅斗
翱游	翱遊
翊赞	翊贊
翕辟	翕闢
翠云裘	翠雲裘
翡翠谷	翡翠谷
翦彩	翦綵
翰墨志	翰墨志
翾风回雪	翾風迴雪
稔恶不悛	稔惡不悛
稠云	稠雲
畎亩下才	畎畝下才
畚斗	畚斗
番泻叶	番瀉葉
畸形发展	畸形發展
碛卤	磧鹵
碾米厂	碾米廠
窅娘	窅娘
窒欲	窒慾
窟里拔蛇	窟裏拔蛇
窥御激夫	窺御激夫
窦太后	竇太后
窨子里秋月	窨子裏秋月
猴面包	猴麪包
猝发	猝發
猢狲入布袋	猢猻入布袋
猥当大任	猥當大任
疋先里	疋先裏
疗饥	療飢
疯了	瘋了
疱疹性咽狭症	皰疹性咽狹症
疵蒙谬累	疵蒙謬累
磊落轶荡	磊落軼蕩
磷酸盐岩	磷酸鹽岩
瞇了	瞇了
瞌睡虫	瞌睡蟲
瞑子里	瞑子裏
瞩托	矚託
瞪了	瞪了
瞭望台	瞭望臺
瞳蒙	瞳矇
瞿秋白	瞿秋白
籧篨戚施	籧篨戚施
焉耆回族自治县	焉耆回族自治縣
焙干	焙乾
焰彩	焰彩
瓠叶	瓠葉
瓢虫	瓢蟲
瓮安	甕安
瓶坠簪折	瓶墜簪折
瓷杯	瓷杯
珂里	珂里
珐瑯彩	琺瑯彩
睁一只眼	睜一隻眼
睟面盎背	睟面盎背
睥睨物表	睥睨物表
睽合	睽合
犁板	犁板
犵党	犵黨
燎发	燎髮
燔针	燔針
篆烟	篆煙
篇卷	篇卷
篡党	篡黨
篷盖布	篷蓋佈
簇合	簇合
簌簌发抖	簌簌發抖
簳面杖	簳麪杖
簸荡	簸盪
瀑布	瀑布
瀍河回族区	瀍河回族區
璅虫	璅蟲
瘅恶彰善	癉惡彰善
瘙痒症	瘙癢症
瘫子掉在井里	癱子掉在井裏
獑胡	獑胡
獠面	獠面
丸药	丸藥
丘克	丘克
亘古	亙古
亹亹不卷	亹亹不卷
佃租制度	佃租制度
佐饔得尝	佐饔得嘗
佞幸	佞幸
佥同	僉同
么娘	麼娘
乏困	乏困
乒乓球台	乒乓球檯
乖别	乖別
乩坛	乩壇
仍复	仍復
仓皇出逃	倉皇出逃
仗托	仗托
仟克	仟克
仡栗	仡栗
件钟	件鐘
俏丽短发	俏麗短髮
俗念	俗念
俘获	俘獲
俚曲	俚曲
俪采	儷采
俾资挹注	俾資挹注
伞面	傘面
侔德复载	侔德覆載
侠气干云	俠氣干雲
侮蔑	侮蔑
靶台	靶臺
靴后跟	靴後跟
逍遥游	逍遙遊
逗人发笑	逗人發笑
逻辑链路控制	邏輯鏈路控制
阀杆	閥杆
阃范	閫範
阉党	閹黨
阐发	闡發
阙里	闕里
队别	隊別
阡表	阡表
阨困	阨困
阮咸	阮咸
钗云	釵雲
钛合金	鈦合金
钜万	鉅萬
钞录	鈔錄
钥匙链	鑰匙鏈
钮扣	鈕釦
钳制	鉗制
雁荡	雁蕩
雀噪	雀噪
雍容闲雅	雍容閒雅
雩坛	雩壇
铰链	鉸鏈
铃虫	鈴蟲
铉台	鉉臺
铠胄	鎧冑
铯钟	銫鐘
黉舍	黌舍
黍谷生春	黍谷生春
黛粉叶	黛粉葉
黝暗	黝暗
黮暗	黮闇
黯然欲绝	黯然欲絕
飮胄	飮冑
际会风云	際會風雲
陇种	隴種
陡然升高	陡然升高
陨获	隕穫
闽台	閩臺
闫怀礼	閆懷禮
闸板	閘板
闺范	閨範
驽马十舍	駑馬十舍
郇山隐修会	郇山隱修會
郘钟	郘鐘
遨游	遨遊
遴选出	遴選出
遄征	遄征
颈链	頸鍊
颖脱而出	穎脫而出
颟里颟顸	顢里顢頇
颤栗	顫慄
髀肉复生	髀肉復生
髡发	髡髮
髯胡	髯鬍
髹饰录	髹飾錄
髼松	髼鬆
酋长制度	酋長制度
酌古御今	酌古御今
酩子里	酩子裏
酮体症	酮體症
锻炼	鍛鍊
锆合金	鋯合金
锌板	鋅板
锕系元素	錒系元素
锲而不舍	鍥而不捨
锹形虫	鍬形蟲
镁合金	鎂合金
镍合金	鎳合金
镕岩	鎔岩
镧系元素	鑭系元素
镭射印表机	鐳射印表機
麾之即去招则须来	麾之即去招則須來
邢台	邢臺
邀天之幸	邀天之幸
邅回	邅回
邋里邋遢	邋里邋遢
邑里	邑里
邓布利多	鄧布利多
邸舍	邸舍
饼干	餅乾
饬回	飭回
饯别	餞別
饶舌歌曲	饒舌歌曲
霁范	霽範
霄壤之别	霄壤之別
霓裳羽衣曲	霓裳羽衣曲
霜叶	霜葉
霹雳游侠	霹靂遊俠
骺软骨板	骺軟骨板
骾朴	骾朴
馂余	餕餘
馄饨面	餛飩麪
馥郁	馥郁
鸳鸯折颈	鴛鴦折頸
鸷虫	鷙蟲
龄虫	齡蟲
鉴频	鑑頻
鉴于	鑑於
韧皮纤维	韌皮纖維
韫椟待价	韞櫝待價
韬戈卷甲	韜戈卷甲
韵致	韻致
鼇头独占	鼇頭獨占
鹅准	鵝準
鹍鸡曲	鵾雞曲
鹏程万里	鵬程萬里
鹘仑吞枣	鶻崙吞棗
鬅松	鬅鬆
鬒发	鬒髮
鱼丸粗面	魚丸粗麪
醮坛	醮壇
醲郁	醲郁
鲇鱼	鮎魚
鲋鱼困涸辙难待西江水	鮒魚困涸轍難待西江水
鲍德里亚	鮑德里亞
鞣制	鞣製
鳃叶	鰓葉
鳝鱼面	鱔魚麪
鳣舍	鱣舍
餍于游乐	饜於游樂
双画面电视	雙畫面電視
可转换同位素	可轉換同位素
口仇	口仇
口燥唇干	口燥脣乾
受聘于	受聘於
叹道	嘆道
另方面	另方面
叫板	叫板
又云	又云
又饥又渴	又飢又渴
友于	友于
友谊万岁	友誼萬歲
号码布	號碼布
号舍	號舍
叠了	疊了
叮人战术	叮人戰術
右面	右面
叱吒风云	叱吒風雲
叱嗟风云	叱嗟風雲
叙事曲	敘事曲
叙述出来	敘述出來
叩钟	叩鐘
司令台	司令臺
司天台	司天臺
司法制度	司法制度
及于	及於
及早准备	及早準備
叔于田	叔于田
叔梁纥	叔梁紇
召回	召回
召幸	召幸
吃烟	吃煙
吉里	吉里
吉田松阴	吉田松陰
吸了	吸了
吴皓升	吳皓昇
听骨链	聽骨鏈
吹胡	吹鬍
吹气胜兰	吹氣勝蘭
吹风胡哨	吹風胡哨
启蒙	啓蒙
启示录	啓示錄
吁请	籲請
吐穗	吐穗
吐谷浑	吐谷渾
吐露出	吐露出
含了	含了
含油岩	含油岩
含烟笼雾	含煙籠霧
含齿戴发	含齒戴髮
吟游	吟遊
否极必泰	否極必泰
否极泰来	否極泰來
否极生泰	否極生泰
吻别	吻別
吻合	吻合
吾为之范我驰驱	吾爲之範我馳驅
吧台	吧檯
吧托女	吧托女
占〇	佔〇
南胡	南胡
卜人	卜人
印鉴	印鑑
印累绶若	印累綬若
博物志	博物志
卢仁杰	盧仁傑
卢郁佳	盧郁佳
即食面	即食麪
卯上干	卯上幹
卯足了劲	卯足了勁
卯酉参辰	卯酉參辰
危害评价	危害評價
却才	卻纔
卓柏卡布拉	卓柏卡布拉
卞庄	卞莊
卞梁	卞梁
卧室里	臥室裏
卧游	臥遊
卧薪尝胆	臥薪嚐膽
卸了	卸了
卸尸宴	卸屍宴
卸扣	卸扣
卵与石斗	卵與石鬥
卵核	卵核
复𫗧	覆餗
夸饰	誇飾
太谷	太谷
头破血出	頭破血出
夜盲症	夜盲症
失眠症	失眠症
夏虫	夏蟲
夫党	夫黨
夫力	伕力
夫娘	夫娘
夫子	夫子 伕子
夫役	伕役
夺眶而出	奪眶而出
夺门而出	奪門而出
够了	夠了
够涂	夠塗
够种	夠種
处于	處於
处女表演	處女表演
处方药	處方藥
夙愿	夙願
夙仇	夙仇
夙心往志	夙心往志
夯土建筑	夯土建築
夯干	夯幹
准错不了	準錯不了
凄丽	悽麗
凌云	凌雲
凌蒙初	淩濛初
凸面	凸面
减肥药	減肥藥
凭空出现	憑空出現
凭虚御风	憑虛御風
凭闲	憑閑
凤梨干	鳳梨乾
凤皇于蜚	鳳皇于蜚
击钟	擊鐘
击筑	擊築
凿船虫	鑿船蟲
凉了	涼了
凉药	涼藥
凉面	涼麪
凹凸有致	凹凸有致
凑不出来	湊不出來
凡须	凡須
凯里	凱里
凯复	凱復
凯特布兰琪	凱特布蘭琪
凯迪拉克	凱迪拉克
净余	淨餘
函复	函覆
函谷关	函谷關
全面	全面
六谷	六穀
关节面	關節面
兴致	興致
兴旺发达	興旺發達
兴筑	興築
养了	養了
养性修真	養性修真
养老鼠咬布袋	養老鼠咬布袋
养颜有术	養顏有術
入托	入托
入秋	入秋
兰秋	蘭秋
兰里老太太	蘭里老太太
兵马司倒了墙	兵馬司倒了牆
充类至尽	充類至盡
充能干	充能幹
典范	典範
典据	典據
典章制度	典章制度
兼收并蓄	兼收幷蓄
兼筹并顾	兼籌幷顧
免疫系统	免疫系統
兽药	獸藥
兆余	兆餘
允准	允准
允当	允當
兄台	兄臺
兄弟党	兄弟黨
划龙舟	划龍舟
利于	利於
利默里克	利默里克
切菜板	切菜板
列表	列表
列氏寒暑表	列氏寒暑表
刺不准	刺不準
刺绣	刺繡
刻板	刻板
刻钟	刻鐘
到岸价	到岸價
到此一游	到此一遊
到达签证	到達簽證
刀板	刀板
刀耕火种	刀耕火種
刀面	刀面
刊了	刊了
刊板	刊板
刊误表	刊誤表
判别	判別
判然不合	判然不合
判若云泥	判若雲泥
刑克	刑剋
刑法志	刑法志
刑辟	刑辟
刁奸	刁姦
刖足适屦	刖足適屨
刖趾适屦	刖趾適屨
刷卷	刷卷
刷新纪录	刷新紀錄
幸逢	幸逢
广舍	廣捨
幽谷	幽谷
幕后	幕後
幕前幕后	幕前幕後
幕布	幕布
幼发拉底	幼發拉底
幼托	幼托
幼虫	幼蟲
幺并矢	幺並矢
团𪢮	團圞
因缘巧合	因緣巧合
围了	圍了
固于	固於
囚系	囚繫
园里	園裏
囿于一时	囿於一時
囿于成见	囿於成見
囊橐丰盈	囊橐豐盈
